career,branch,skills,description,trends,learning_path
Data Scientist,Technology,python machine learning statistics sql coding data-analysis math programming research,"Analyze data and build predictive models","High demand in finance, healthcare, and e-commerce. Shift towards MLOps.","Learn Python -> Statistics -> ML basics -> SQL -> Deep Learning"
Web Developer,Technology,html css javascript react node frontend backend coding websites internet programming apps,"Build responsive websites and scalable web apps","Rise of serverless architecture, AI-driven coding assistants, and edge computing.","Learn HTML/CSS/JS -> React -> Node.js -> Databases -> Cloud Deployment"
AI Engineer,Technology,python deep-learning tensorflow pytorch nlp llm coding robots artificial-intelligence brain automation,"Design and implement advanced AI systems and LLMs","Explosive growth in Generative AI, RAG architectures, and agentic workflows.","Learn Python -> Math -> Neural Networks -> PyTorch/TensorFlow -> GenAI"
Cyber Security,Technology,network security ethical-hacking cryptography computers safety hacking protection internet-security,"Protect systems, networks, and data from cyber attacks","Zero-trust security models, AI for threat detection, cloud security.","Learn Networking -> OS Internals -> Cryptography -> Ethical Hacking"
Cloud Architect,Technology,aws azure gcp kubernetes docker infrastructure internet servers cloud-storage networking,"Design and manage cloud infrastructure","Multi-cloud strategies, serverless, infrastructure as code (IaC).","Learn Linux -> Networking -> AWS/Azure basics -> Docker/K8s -> IaC"
Product Manager,Technology,agile scrum communication strategy analytics leadership business management planning teamwork,"Lead product development from conception to launch","Data-driven decision making, AI in product strategy, remote team management.","Learn Agile -> UI/UX basics -> Data Analytics -> Product Strategy"
UX Designer,Technology,figma wireframing user-research prototyping ui drawing creativity graphics art colors psychology,"Design user interfaces and improve user experience","Voice UI, AR/VR interfaces, AI-assisted design tools.","Learn Design Principles -> User Research -> Figma -> Prototyping -> Usability Testing"
DevOps Engineer,Technology,ci cd jenkins linux bash scripting automation operations servers cloud reliability,"Streamline software development and deployment processes","GitOps, AI-driven operations (AIOps), platform engineering.","Learn Linux/Bash -> Git -> CI/CD pipelines -> Docker -> Kubernetes"
Medical Doctor,Science,biology chemistry anatomy healthcare surgery medicine health biology doctor patients hospitals science,"Diagnose and treat illnesses and injuries","Growing focus on telemedicine and personalized medicine.","MBBS -> Specialization -> Residency -> Practice"
Research Scientist,Science,physics chemistry laboratory research data-analysis science logic experiments discovery lab,"Conduct experiments and analyze results to advance scientific knowledge","Integration of AI in drug discovery and material science.","Bachelor's in Science -> PhD -> Postdoc -> Research Position"
